INSTA Channel. One question Daily,,,,
Pattern,Question,Link 1,Link 2,Link 3
,Check if Array is Sorted,https://www.geeksforgeeks.org/problems/check-if-an-array-is-sorted0701/1,https://www.youtube.com/watch?v=-gC-QEdpvO4,
,Sum of digits of a number,https://www.geeksforgeeks.org/problems/sum-of-digits1742/1,https://www.youtube.com/watch?v=-gC-QEdpvO4,
,Remove occurences of a character in string,https://www.geeksforgeeks.org/problems/remove-all-occurrences-of-a-character-in-a-string/1,https://www.youtube.com/watch?v=-gC-QEdpvO4,
,Generate parenthesis,https://leetcode.com/problems/generate-parentheses/description/,,
,Letter Combinations of phone number,https://leetcode.com/problems/letter-combinations-of-a-phone-number/description/,https://www.youtube.com/watch?v=IKfIT6uFOcs,
,Permutations,https://leetcode.com/problems/permutations/description/,,
,Combination Sum,https://leetcode.com/problems/combination-sum/description/,,
,Pallindrome partition,https://leetcode.com/problems/palindrome-partitioning/description/,,
,Tree Pattern,,,
Traversal,Inorder,https://leetcode.com/problems/binary-tree-inorder-traversal/description/,,
,Preorder,https://leetcode.com/problems/binary-tree-preorder-traversal/description/,,
,Postorder,https://leetcode.com/problems/binary-tree-postorder-traversal/description/,Homework,
,Level Order,https://leetcode.com/problems/binary-tree-level-order-traversal/description/,,
,ZigZag Order,https://leetcode.com/problems/binary-tree-zigzag-level-order-traversal/description/,,
,Level Order II,https://leetcode.com/problems/binary-tree-level-order-traversal-ii/description/,Homework,
Mirror and Symmetry,Invert Tree,https://leetcode.com/problems/invert-binary-tree/description/,,
,Symmetric Tree,https://leetcode.com/problems/symmetric-tree/description/,,
,Same Tree,https://leetcode.com/problems/same-tree/description/,Homework,
,Subtree of another TREE,https://leetcode.com/problems/subtree-of-another-tree/description/,,
,Flip Equivalent Tree,https://leetcode.com/problems/flip-equivalent-binary-trees/description/,,
Search,LCA of Binary TREE,https://leetcode.com/problems/lowest-common-ancestor-of-a-binary-tree/description/,,
,Binary Search Tree,https://leetcode.com/problems/search-in-a-binary-search-tree/,,
,LCA of BST,https://leetcode.com/problems/lowest-common-ancestor-of-a-binary-search-tree/description/,,
,LCA of Deepest Leaves,https://leetcode.com/problems/lowest-common-ancestor-of-deepest-leaves/description/,,
,Two Sum IV,https://leetcode.com/problems/two-sum-iv-input-is-a-bst/description/,,
,Kth smallest element in BST,https://leetcode.com/problems/kth-smallest-element-in-a-bst/description/,,
Validation,Minimum Depth of Binary Tree,https://leetcode.com/problems/minimum-depth-of-binary-tree/description/,,
,Maximum Depth of Binary Tree,https://leetcode.com/problems/maximum-depth-of-binary-tree/description/,,
,Balanced Binary Tree,https://leetcode.com/problems/balanced-binary-tree/description/,,
,Diameter of Binary Tree,https://leetcode.com/problems/diameter-of-binary-tree/description/,,
,Check Completeness of Binary Tree,https://leetcode.com/problems/check-completeness-of-a-binary-tree/description/,,
,Validate BST,https://leetcode.com/problems/validate-binary-search-tree/description/,,
,Recover BST,https://leetcode.com/problems/recover-binary-search-tree/description/,,
Path SUM,Path Sum,https://leetcode.com/problems/path-sum/description/,,
,Path Sum II,https://leetcode.com/problems/path-sum-ii/,,
,Sum of Root to Leaf,https://leetcode.com/problems/sum-root-to-leaf-numbers/description/,,
,Maximum Path Sum,https://leetcode.com/problems/binary-tree-maximum-path-sum/description/,,
Construction,Contruct tree from preorder and inorder,https://leetcode.com/problems/construct-binary-tree-from-preorder-and-inorder-traversal/description/,,
,Contruct tree from postorder and inorder,https://leetcode.com/problems/construct-binary-tree-from-inorder-and-postorder-traversal/description/,,
,Sorted Array to BST,https://leetcode.com/problems/convert-sorted-array-to-binary-search-tree/description/,,
,GRAPHS,,,
,Construct Adjancency List from EDGES+Nodes,https://www.geeksforgeeks.org/problems/print-adjacency-list-1587115620/1,,
,Graph DFS,https://www.geeksforgeeks.org/problems/depth-first-traversal-for-a-graph/1,,
,GRAPH BFS,https://www.geeksforgeeks.org/problems/bfs-traversal-of-graph/1,,
,Number of Islands,https://leetcode.com/problems/number-of-islands/description/,,
,Number of Provinces,https://leetcode.com/problems/number-of-provinces/description/,,
,Rotten Oranges,https://leetcode.com/problems/rotting-oranges/,,
,Cycle detection in undirected graph,https://www.geeksforgeeks.org/problems/detect-cycle-in-an-undirected-graph/1,,
,Cycle detection in directed graph,https://www.geeksforgeeks.org/problems/detect-cycle-in-a-directed-graph/1,,
,Topological sort,https://www.geeksforgeeks.org/problems/topological-sort/1,,
,Bipartite Graph/ Graph Coloring,https://leetcode.com/problems/is-graph-bipartite/,,
,Surrounded Regoins,https://leetcode.com/problems/surrounded-regions/,,
,Shortest Path in Non-Weighted Graph,https://www.geeksforgeeks.org/problems/shortest-path-in-undirected-graph-having-unit-distance/1,,
,Dijkstra's Algorithm,https://www.geeksforgeeks.org/problems/implementing-dijkstra-set-1-adjacency-matrix/1,,
,Network Delay,https://leetcode.com/problems/network-delay-time/,,
,Path With Minimum Effort,https://leetcode.com/problems/path-with-minimum-effort/,,
,Swim in Rising Water,https://leetcode.com/problems/swim-in-rising-water/,,
,Bellman ford,https://www.geeksforgeeks.org/problems/distance-from-the-source-bellman-ford-algorithm/1,,
,Cheapest Path in K stops,https://leetcode.com/problems/cheapest-flights-within-k-stops/description/,,
,Prim MST,https://www.geeksforgeeks.org/problems/minimum-spanning-tree/1,,
,Word Ladder,https://leetcode.com/problems/word-ladder/,,
,DP (Dynamic Programming),,,
,Episode-02: Fibonacci,https://leetcode.com/problems/fibonacci-number/description/,,
,Episode 03: Climbing Stairs,https://leetcode.com/problems/climbing-stairs/description/,,
,Episode 04: House Robber,https://leetcode.com/problems/house-robber/,,
,Episode 05: 0/1 Knapsack,https://www.geeksforgeeks.org/problems/0-1-knapsack-problem0945/1,,
,Episode 06: tabulation Intro,,,
,Episode 07: 0/1 Knapsack Tabulation,https://www.geeksforgeeks.org/problems/0-1-knapsack-problem0945/1,,
,Episode 08: Subset sum,https://www.geeksforgeeks.org/problems/subset-sum-problem-1611555638/1,,
,Episode 09 : Target Sum,https://www.geeksforgeeks.org/problems/target-sum-1626326450/1,,
,Episode 10 : LIS,https://leetcode.com/problems/longest-increasing-subsequence/,,
,Episode 11 : LIS Tabulation,,,
,Episode 12 : LCS,https://leetcode.com/problems/longest-common-subsequence/description/,,
